"","Season","nationality","Player","PER"
"26982","2014 - 2015","United States / Turkey","Shane Larkin",9.32
"31227","2015 - 2016","United States / Turkey","Shane Larkin",11.69
"40204","2017 - 2018","United States / Turkey","Shane Larkin",9.57
"1861","2002 - 2003","United States / Norway","Milt Palacio",6.57
"4267","2004 - 2005","United States / Norway","Milt Palacio",8.78
"5486","2005 - 2006","United States / Norway","Milt Palacio",6.25
"35484","2016 - 2017","United States / Lithuania","Domantas Sabonis",6.74
"40043","2017 - 2018","United States / Lithuania","Domantas Sabonis",14.41
"45103","2018 - 2019","United States / Lithuania","Domantas Sabonis",19.65
"51740","2019 - 2020","United States / Lithuania","Domantas Sabonis",19.09
"45306","2018 - 2019","United States / Israel","T.J. Leaf",17.43
"18860","2012 - 2013","United States / Greece","Kosta Koufos",16.48
"23006","2013 - 2014","United States / Greece","Kosta Koufos",14.03
"23032","2013 - 2014","United States / Greece","Nick Calathes",10.38
"26994","2014 - 2015","United States / Greece","Kosta Koufos",12.18
"31234","2015 - 2016","United States / Greece","Kosta Koufos",14.72
"35487","2016 - 2017","United States / Greece","Kosta Koufos",13.53
"40149","2017 - 2018","United States / Greece","Kosta Koufos",17.25
"126","1999 - 2000","United States / Germany","Shawn Bradley",14.2
"640","2000 - 2001","United States / Germany","Shawn Bradley",12.53
"1821","2002 - 2003","United States / Germany","Shawn Bradley",14.28
"2900","2003 - 2004","United States / Germany","Chris Kaman",6.54
"4318","2004 - 2005","United States / Germany","Shawn Bradley",8.6
"5400","2005 - 2006","United States / Germany","Chris Kaman",11.02
"6653","2006 - 2007","United States / Germany","Chris Kaman",9.14
"10588","2009 - 2010","United States / Germany","Chris Kaman",13.05
"10703","2009 - 2010","United States / Germany","Donte Greene",9.4
"14813","2011 - 2012","United States / Germany","Chris Kaman",11.69
"18850","2012 - 2013","United States / Germany","Chris Kaman",14.57
"26942","2014 - 2015","United States / Germany","Chris Kaman",15.14
"35497","2016 - 2017","United States / Croatia","Justin Hamilton",13.91
"111","1999 - 2000","Ukraine","Vitaly Potapenko",10.67
"634","2000 - 2001","Ukraine","Vitaly Potapenko",9.69
"1194","2001 - 2002","Ukraine","Vitaly Potapenko",8.39
"1199","2001 - 2002","Ukraine","Slava Medvedenko",12.93
"2890","2003 - 2004","Ukraine","Slava Medvedenko",10.4
"31198","2015 - 2016","Ukraine","Alex Len",9.06
"35437","2016 - 2017","Ukraine","Alex Len",11.99
"40111","2017 - 2018","Ukraine","Alex Len",15.92
"45142","2018 - 2019","Ukraine","Alex Len",16.53
"51876","2019 - 2020","Ukraine","Svi Mykhailiuk",10.9
"51903","2019 - 2020","Ukraine","Alex Len",17.11
"672","2000 - 2001","Turkey","Hedo Turkoglu",8.16
"1115","2001 - 2002","Turkey","Hedo Turkoglu",10.48
"1835","2002 - 2003","Turkey","Mehmet Okur",10.17
"1852","2002 - 2003","Turkey","Hedo Turkoglu",8.5
"2858","2003 - 2004","Turkey","Hedo Turkoglu",10.29
"2867","2003 - 2004","Turkey","Mehmet Okur",12.15
"4170","2004 - 2005","Turkey","Mehmet Okur",11.62
"5353","2005 - 2006","Turkey","Mehmet Okur",12.59
"5374","2005 - 2006","Turkey","Hedo Turkoglu",10.77
"6573","2006 - 2007","Turkey","Mehmet Okur",13.02
"6616","2006 - 2007","Turkey","Hedo Turkoglu",9.82
"7963","2007 - 2008","Turkey","Hedo Turkoglu",13.12
"8005","2007 - 2008","Turkey","Mehmet Okur",12.43
"9294","2008 - 2009","Turkey","Hedo Turkoglu",9.86
"9302","2008 - 2009","Turkey","Mehmet Okur",13.3
"10638","2009 - 2010","Turkey","Mehmet Okur",12.52
"10660","2009 - 2010","Turkey","Ersan Ilyasova",13.23
"10661","2009 - 2010","Turkey","Hedo Turkoglu",10.12
"11941","2010 - 2011","Turkey","Hedo Turkoglu",11.67
"12043","2010 - 2011","Turkey","Omer Asik",8.42
"14773","2011 - 2012","Turkey","Ersan Ilyasova",16.84
"14828","2011 - 2012","Turkey","Hedo Turkoglu",9.19
"14916","2011 - 2012","Turkey","Omer Asik",10.86
"18791","2012 - 2013","Turkey","Ersan Ilyasova",16.17
"18817","2012 - 2013","Turkey","Omer Asik",12.57
"26958","2014 - 2015","Turkey","Omer Asik",12.2
"27016","2014 - 2015","Turkey","Hedo Turkoglu",10.62
"31184","2015 - 2016","Turkey","Ersan Ilyasova",11.88
"35342","2016 - 2017","Turkey","Ersan Ilyasova",13.31
"40075","2017 - 2018","Turkey","Ersan Ilyasova",14.13
